116807857051144192,80710981,,smilingeyes1510,,en,"Thu, 22 Sep 2011 09:35:37 +0000","Okay. Girls, are really complicated. NowonderI'malwayscloserwithguys. Dealing with so many problems here now, I'm frustrated enough of mine",0
116807857042759680,30768855,,riyandragemma,,en,"Thu, 22 Sep 2011 09:35:37 +0000",Dr. Dre ngeluarin headphones justin bibier series. WTF,0
116807857038557184,406632113,398212115,DanielleLiza3,,en,"Thu, 22 Sep 2011 09:35:37 +0000",@paigestacey6 your not aloud on twitter,0
116807857025982464,208088445,,JDunnWilson94,,en,"Thu, 22 Sep 2011 09:35:37 +0000",i have to give an english presentation today. i don't want to. #collegedilemmas,0
116807856988241921,88216375,,trousereddenim,,en,"Thu, 22 Sep 2011 09:35:37 +0000","Whenever i sit in the cinema, waiting for the movie to start. I'll point to every trailer and PRE-CLAIM that i wanna watch it. But i dont.",0
116807856984043520,22728659,28190972,Naijiew,,en,"Thu, 22 Sep 2011 09:35:37 +0000",@limwanying LOLOLOL the red outline last warning hahahahaha,0
116807856921116673,262815003,,Maali_Maali,,en,"Thu, 22 Sep 2011 09:35:37 +0000",RT @A_Alasoomi: &quot;@MsBalooshi: @FatimaBntHasan @A_Alasoomi dear Obama plz clean ur house first then talk about beloved Bahrain.&quot; #USA #US #Bahrain,0
116807856904355840,387142679,,coventry_deals,,en,"Thu, 22 Sep 2011 09:35:37 +0000",Deals Suction Bottle Opener - Save £2 from Gizzmo Heaven http://t.co/A4WMSBZY #EasyNo #OfferDetails #OfferPrice,0
116807856904339456,409906680,397006537,avoxodair,,en,"Thu, 22 Sep 2011 09:35:37 +0000","@voledemort NINA. I've missed you so fucking much, babe. It's been ages. This is your twin (Paloma). I deleted my other account. Long story.",0
116807856854020096,365897284,6199377,luna_ernesto,,en,"Thu, 22 Sep 2011 09:35:37 +0000","@pastorronnie 
Thanks pastor!!! You can be of help in my pioneering ministry here in Barangay Kapamanok,San Pablo, Zamboangadel Sur, Phil...",0
116807856849821697,286700915,,highestfund,,en,"Thu, 22 Sep 2011 09:35:37 +0000",Purchase Mutual Funds | Investing: Stocks Or Mutual Funds http://t.co/vHP9DZlP,0
116807856837230592,239845838,142147956,PortalPixie,,en,"Thu, 22 Sep 2011 09:35:37 +0000","@AKMamma @thezombiemike @Mandee_Lane Aww, you're too kind *blushes*. With my style of work, it would no doubt be suitably bizarre LOL",0
116807856833044480,113128855,,jurylady,,en,"Thu, 22 Sep 2011 09:35:37 +0000","RT @TeleFinance: China manufacturing contracts, hit by US, eurozone woes http://t.co/TktowvPg",0
116807856816275456,52292828,212865719,TamerSaudi,,en,"Thu, 22 Sep 2011 09:35:37 +0000",@BilalSaudi #intermerde  &quot;@guardian_sport: Claudio Ranieri set to sign two-year deal as Inter coach http://t.co/zUWjo5ha via @guardian&quot;,0
116807856816271360,407944718,393379889,MKors_addict,,en,"Thu, 22 Sep 2011 09:35:37 +0000",@_HerSkinnyAss like I can't go to sleep I got so much on my mind..,0
116807856816259072,73488401,,arunswamyrk,,en,"Thu, 22 Sep 2011 09:35:37 +0000",I posted a new photo to Facebook http://t.co/j4cI6rck,0
